keyword,us_volume,keyword_difficulty,competition,intent,priority,target_content,notes
"kafka to iceberg",20,0,0.40,"bottom-funnel implementation",0.91,"README hero; docs/kafka-to-iceberg.md","Exact niche query; lead with this because intent is strongest."
"kafka iceberg sink",20,0,0.29,"bottom-funnel sink search",0.89,"README intro; docs/comparisons.md","Use as comparison language, not as a claim that K2I is Kafka Connect."
"kafka connect iceberg sink",20,0,0.26,"alternative comparison",0.88,"docs/comparisons.md","High-intent alternative query."
"iceberg streaming ingestion",20,0,0.57,"architecture/implementation",0.86,"docs/kafka-to-iceberg.md; docs/architecture.md","Use with hot/cold architecture explanation."
"apache iceberg streaming",20,0,0.48,"architecture/learning",0.84,"docs/kafka-to-iceberg.md","Broader phrasing for intro copy."
"kafka to parquet",20,0,0.16,"adjacent implementation",0.82,"docs/kafka-to-iceberg.md; docs/architecture.md","Bridge Kafka->Parquet->Iceberg."
"iceberg rest catalog",210,8,0.14,"technical implementation",0.80,"docs/iceberg-rest-catalog.md","Strong low-KD adjacent topic."
"duckdb iceberg",210,10,0.18,"validation/querying",0.78,"docs/duckdb-iceberg-validation.md","Strong validation/content angle."
"confluent tableflow",210,15,0.19,"managed alternative",0.73,"docs/comparisons.md","Compare without overclaiming."
"kafka to s3",140,9,0.16,"adjacent ingestion",0.70,"docs/kafka-to-iceberg.md","Bridge to object-store/lakehouse ingestion."
"iceberg catalog",170,35,0.31,"technical learning",0.62,"docs/iceberg-rest-catalog.md","Useful internal-link/supporting topic."
"kafka schema registry",390,25,0.18,"schema implementation",0.61,"docs/schema-registry-protobuf.md","Lower KD than Confluent-branded phrase."
"confluent schema registry",390,39,0.17,"schema implementation",0.56,"docs/schema-registry-protobuf.md","Important product/entity association."
"duckdb iceberg rest catalog",50,33,0.33,"validation/querying",0.55,"docs/duckdb-iceberg-validation.md","Niche but extremely aligned with E2E proof."
"iceberg rest api",70,44,0.13,"technical learning",0.51,"docs/iceberg-rest-catalog.md","Use as secondary heading."
"data lakehouse",2400,40,0.50,"broad awareness",0.49,"README problem statement; docs/README.md","Broad but competitive; use sparingly."
"kafka connect",1600,52,0.19,"tool learning",0.44,"docs/comparisons.md","Do not attempt to rank directly from README."
"parquet file format",1600,47,0.00,"format learning",0.43,"docs/kafka-to-iceberg.md","Use in explanatory copy."
"apache parquet",8100,51,0.04,"format learning",0.42,"docs/architecture.md","Broad entity term; cite as context."
"apache iceberg",6600,61,0.34,"category learning",0.37,"README intro; docs/README.md","Necessary entity but hard to rank for."
"flink vs spark",590,23,0.09,"comparison",0.35,"docs/comparisons.md","Use only if adding broader comparisons."
"apache flink",5400,69,0.08,"alternative category",0.30,"docs/comparisons.md","Broad high-KD alternative."
"small file problem",30,0,0.33,"problem-aware",0.76,"README problem statement; docs/kafka-to-iceberg.md","Low volume but key LLM/citation phrase."
